名称,大类,中类,经度,纬度,省份,地级市,区县
陶家塘生态公园,休闲娱乐,农家乐,121.518433,31.009726,上海市,上海市,闵行区
陶家塘生态公园,餐饮美食,中国菜,121.518422,31.009674,上海市,上海市,闵行区
明星村六岔道生态公园,旅游景点,公园,121.542866,30.976562,上海市,上海市,奉贤区
新城·千禧公园,商务住宅,住宅区,121.508847,31.024414,上海市,上海市,闵行区
浦江森林湿地公园,旅游景点,公园,121.517457,31.047167,上海市,上海市,闵行区
浦江郊野公园-生态湿地公园,旅游景点,其他,121.505701,31.047621000000003,上海市,上海市,闵行区
墩头生态公园,旅游景点,公园,121.635774,30.986068,上海市,上海市,奉贤区
盛妙生态公园,休闲娱乐,农家乐,121.638199,31.06556,上海市,上海市,浦东新区
周浦花海生态公园,旅游景点,公园,121.645584,31.117593000000003,上海市,上海市,浦东新区
桃米乐野餐生态公园,运动健身,其他,121.553276,31.051663,上海市,上海市,浦东新区
绿色生态公园,休闲娱乐,农家乐,121.684368,31.012383,上海市,上海市,浦东新区
金团生态公园,旅游景点,公园,121.753739,30.976747,上海市,上海市,浦东新区
多利农庄生态公园,休闲娱乐,其他,121.773066,30.975577,上海市,上海市,浦东新区
多利农庄生态公园,旅游景点,其他,121.77309,30.975555,上海市,上海市,浦东新区
竹隐江南生态公园,休闲娱乐,其他,121.802164,31.028485,上海市,上海市,浦东新区
微型生态公园,旅游景点,公园,121.802395,31.03634,上海市,上海市,浦东新区
张高渔业生态公园,运动健身,其他,121.733276,31.018906,上海市,上海市,浦东新区
滨河绿地生态公园,旅游景点,公园,121.741133,31.068136,上海市,上海市,浦东新区
艺泰安邦花园-体育生态公园,旅游景点,公园,121.705547,31.060175,上海市,上海市,浦东新区
六灶健身生态公园,旅游景点,公园,121.709306,31.110709,上海市,上海市,浦东新区
淼利生态公园,休闲娱乐,其他,121.660656,31.1003,上海市,上海市,浦东新区
淼利生态公园,酒店住宿,其他,121.66062,31.100307,上海市,上海市,浦东新区
光明生态公园,旅游景点,广场,121.671439,31.146892,上海市,上海市,浦东新区
上海薰衣草公园,旅游景点,公园,121.674397,31.142795,上海市,上海市,浦东新区
上海薰衣草公园,旅游景点,植物园,121.674378,31.142763,上海市,上海市,浦东新区
祝桥镇门球主题生态公园,旅游景点,公园,121.747737,31.18038,上海市,上海市,浦东新区
合庆郊野公园,旅游景点,公园,121.715876,31.262325,上海市,上海市,浦东新区
共青国家森林公园,旅游景点,景点,121.551723,31.318888,上海市,上海市,杨浦区
滨江湿地公园,旅游景点,其他,121.511939,31.393251,上海市,上海市,宝山区
长兴岛郊野生态公园,旅游景点,景点,121.709932,31.402162,上海市,上海市,崇明区
前卫1966郊野生态公园,旅游景点,公园,121.706263,31.410224,上海市,上海市,崇明区
C-PARK运动生态公园,休闲娱乐,其他,121.787439,31.524561,上海市,上海市,崇明区
军谊生态公园,购物消费,花鸟鱼虫,121.685473,31.558306,上海市,上海市,崇明区
新隆村生态公园,旅游景点,公园,121.532144,31.617143,上海市,上海市,崇明区
外冈郊野公园,旅游景点,公园,121.147641,31.357439000000003,上海市,上海市,嘉定区
法治主题公园,旅游景点,公园,121.149676,31.352953,上海市,上海市,嘉定区
旺和苑生态公园,旅游景点,公园,121.171125,31.399518,上海市,上海市,嘉定区
马陆葡萄主题公园,休闲娱乐,游乐场,121.318303,31.378665,上海市,上海市,嘉定区
马陆葡萄主题公园,旅游景点,其他,121.318242,31.378663,上海市,上海市,嘉定区
嘉北郊野公园,旅游景点,公园,121.19687,31.357435,上海市,上海市,嘉定区
郊野生态公园,旅游景点,景点,121.35591,31.456927,上海市,上海市,宝山区
民众村稻虾生态公园,运动健身,其他,121.367662,31.449576,上海市,上海市,宝山区
白鹭生态公园,旅游景点,公园,121.346107,31.455321,上海市,上海市,宝山区
一水间花卉生态公园,休闲娱乐,农家乐,121.387955,31.437561,上海市,上海市,宝山区
华亭哈密瓜主题公园,旅游景点,植物园,121.306332,31.485196,上海市,上海市,嘉定区
英峰生态公园,旅游景点,其他,121.289495,31.483058,上海市,上海市,嘉定区
田佑生态公园,运动健身,其他,121.484564,31.613307,上海市,上海市,崇明区
建设镇健康主题生态公园,旅游景点,公园,121.490619,31.635368,上海市,上海市,崇明区
团结村村民生态公园,旅游景点,公园,121.423556,31.671856,上海市,上海市,崇明区
上海崇明欢宿高家庄度假生态公园,酒店住宿,其他,121.421032,31.681615,上海市,上海市,崇明区
森林公园,交通设施,公交站,121.48045,31.676086,上海市,上海市,崇明区
胜林生态公园,旅游景点,公园,121.457592,31.672509,上海市,上海市,崇明区
锦旺农业生态公园,休闲娱乐,农家乐,121.471062,31.675438,上海市,上海市,崇明区
协兴村村民生态公园,旅游景点,公园,121.420915,31.707305,上海市,上海市,崇明区
双津村村民生态公园,旅游景点,公园,121.39047,31.668174,上海市,上海市,崇明区
庙镇绿地生态公园,旅游景点,公园,121.354759,31.710291,上海市,上海市,崇明区
枫溪生态公园,旅游景点,公园,121.017683,30.885602,上海市,上海市,金山区
全民健康主题生态公园,旅游景点,公园,121.071998,30.930814,上海市,上海市,松江区
张堰生态公园,旅游景点,公园,121.283353,30.803651,上海市,上海市,金山区
辛辛啪村生态公园,旅游景点,公园,121.254161,30.777686,上海市,上海市,金山区
麦子篮球公园,运动健身,篮球,121.365575,30.738838,上海市,上海市,金山区
双拥主题生态公园,旅游景点,公园,121.347824,30.741182,上海市,上海市,金山区
马棚文化生态公园,旅游景点,公园,121.338267,30.767056,上海市,上海市,金山区
健康主题生态公园,旅游景点,公园,121.403125,30.796709,上海市,上海市,金山区
质量科普生态公园,旅游景点,公园,121.3973,30.798954,上海市,上海市,金山区
正阳体育生态公园,旅游景点,公园,121.482796,30.906729,上海市,上海市,奉贤区
南上海运河生态公园,旅游景点,公园,121.471962,30.922731,上海市,上海市,奉贤区
和合社区生态公园,旅游景点,公园,121.486027,30.920424,上海市,上海市,奉贤区
德园社区生态公园,旅游景点,公园,121.485081,30.926269,上海市,上海市,奉贤区
圣泉农庄生态公园,休闲娱乐,农家乐,121.236926,30.837656,上海市,上海市,金山区
亭林生态公园,旅游景点,公园,121.312488,30.882036000000003,上海市,上海市,金山区
玲珑宠物生态公园,旅游景点,动物园,121.275434,30.922254,上海市,上海市,松江区
泖港镇健康主题生态公园,旅游景点,公园,121.214115,30.931925,上海市,上海市,松江区
雨坤体育生态公园,运动健身,其他,121.241819,31.002359,上海市,上海市,松江区
醉白池公园,旅游景点,公园,121.230974,31.001739,上海市,上海市,松江区
思贤生态公园,旅游景点,公园,121.223421,31.030237,上海市,上海市,松江区
申磊足球生态公园,运动健身,足球,121.243839,31.04008,上海市,上海市,松江区
方松体育生态公园,旅游景点,公园,121.231938,31.041428,上海市,上海市,松江区
财富兴园·国际企业生态公园,商务住宅,产业园,121.301232,30.997697,上海市,上海市,松江区
广富林东路休闲生态公园,旅游景点,公园,121.263207,31.053188,上海市,上海市,松江区
上海健川富硒生态公园,运动健身,其他,121.290448,31.070324,上海市,上海市,松江区
陈春路口袋生态公园,旅游景点,公园,121.315191,31.068247,上海市,上海市,松江区
河图生态公园,商务住宅,产业园,121.320437,31.098235,上海市,上海市,松江区
九科绿洲生态公园,旅游景点,公园,121.328216,31.107908,上海市,上海市,松江区
吴家浜生态公园,旅游景点,公园,121.304858,31.111319,上海市,上海市,松江区
竞健青少年篮球公园,运动健身,篮球,121.256309,31.088942,上海市,上海市,松江区
森林公园,交通设施,公交站,121.199915,31.090075,上海市,上海市,松江区
玛雅海滩水公园,交通设施,公交站,121.209159,31.095379,上海市,上海市,松江区
上海玛雅海滩水公园,运动健身,水上运动,121.209021,31.093779,上海市,上海市,松江区
上海月湖雕塑生态公园,旅游景点,景点,121.206117,31.102683,上海市,上海市,松江区
洛克公园,运动健身,篮球,121.360925,30.998542,上海市,上海市,闵行区
闵行南部科创生态公园,旅游景点,公园,121.406968,31.023883,上海市,上海市,闵行区
金塔公园,旅游景点,公园,121.410161,31.038048,上海市,上海市,闵行区
马桥古文化遗址生态公园,旅游景点,公园,121.391289,31.034612,上海市,上海市,闵行区
马桥生态公园,旅游景点,公园,121.369863,31.031146000000003,上海市,上海市,闵行区
星乐生态公园,旅游景点,公园,121.472627,31.037248,上海市,上海市,闵行区
万科青藤生态公园,商务住宅,其他,121.472109,31.03489,上海市,上海市,闵行区
吴泾公园,旅游景点,公园,121.477556,31.046824,上海市,上海市,闵行区
吴泾公园,交通设施,公交站,121.478664,31.045634,上海市,上海市,闵行区
梅陇镇法治文化生态公园,旅游景点,公园,121.438846,31.067559,上海市,上海市,闵行区
休闲生态公园,旅游景点,公园,121.447706,31.080351,上海市,上海市,闵行区
大众公园,汽车相关,其他,121.443548,31.081809,上海市,上海市,闵行区
虎方足球生态公园,运动健身,其他,121.453559,31.053247,上海市,上海市,闵行区
梅陇镇法治口袋生态公园,旅游景点,公园,121.454355,31.098347,上海市,上海市,闵行区
丁连村民生态公园,旅游景点,公园,121.480816,31.096116,上海市,上海市,闵行区
梅陇国防教育主题公园,旅游景点,公园,121.425014,31.088681,上海市,上海市,闵行区
永联文化生态生态公园,旅游景点,公园,121.442866,31.100741,上海市,上海市,闵行区
旗忠生态公园,旅游景点,公园,121.349772,31.058115,上海市,上海市,闵行区
旗忠公园,交通设施,公交站,121.350631,31.057751,上海市,上海市,闵行区
颛联休闲生态公园,旅游景点,公园,121.403056,31.064469,上海市,上海市,闵行区
Realpark king sports体育生态公园,旅游景点,植物园,121.404503,31.091272,上海市,上海市,闵行区
洛克生态公园,购物消费,其他,121.404512,31.091556,上海市,上海市,闵行区
上海青春生态办生态公园,商务住宅,产业园,121.349077,31.119066,上海市,上海市,闵行区
闵行体育公园,旅游景点,公园,121.370888,31.143127,上海市,上海市,闵行区
闵行体育公园,交通设施,公交站,121.366246,31.144173,上海市,上海市,闵行区
优体足球生态公园,运动健身,足球,121.373416,31.136597,上海市,上海市,闵行区
李秋平篮球公园,运动健身,篮球,121.381409,31.140092,上海市,上海市,闵行区
前滩体育生态公园,旅游景点,公园,121.464879,31.146525,上海市,上海市,浦东新区
前滩休闲生态公园,旅游景点,公园,121.466148,31.150889,上海市,上海市,浦东新区
飞梦体育生态公园,运动健身,综合体育馆,121.464114,31.145858,上海市,上海市,浦东新区
济阳生态公园,旅游景点,公园,121.479901,31.169142,上海市,上海市,浦东新区
世博文化生态公园,旅游景点,公园,121.476796,31.179112,上海市,上海市,浦东新区
后滩生态公园,旅游景点,公园,121.472713,31.183567,上海市,上海市,浦东新区
